column,n_train,n_valid,MASE,SMAPE,R2
GloblRad,8920,365,1.1696521042462344,32.68895642726534,0.01742637748175191
SunShine,9039,365,1.565891176563269,101.38519231420267,-1.019307955523956
T Max,9039,365,1.194776926587843,7.805492147282569,0.6004859239615756
T Min,9039,365,1.5028119161059346,8.695983772188919,0.8087651324368738
Td dew point,9039,365,1.5075968739820356,11.423519745799135,0.7733954759971855
Temperature,9039,365,1.6805694841634635,7.945163482789745,0.7707947955748448
TxSoil100cm,9038,365,6.887001791811937,3.0096455208448187,0.9132488868774725
TxSoil10cm,9039,365,2.225219094958216,5.075879891457235,0.851651644843002
TxSoil30cm,9039,365,2.5546030091403518,3.145369491033994,0.9149338076691934
TxSoil50cm,9038,365,5.589753264520921,5.2521681398373445,0.8199952556318233
TxSoil5cm,9038,365,1.8544628545518271,5.884822404133322,0.8609333146468087
UVI Max,8986,365,1.1303013490319567,25.240876152235046,0.22192509418797468
